1.1	2
2.2	2
2.701678004	4
3.170317460	3
3.748480725	3
4.305918367	2
4.821678004	2
5.368526077	1
5.902743764	1
6.417528344	0
6.916802721	0
7.443378684	4
8.049750566	0
10.1	3
11.2	3
12.701678004	4
13.170317460	3
13.748480725	3
14.305918367	2
14.821678004	2
15.368526077	1
15.902743764	1
16.417528344	0
16.916802721	0
17.443378684	4
17.931814058	3
18.481972789	3
19.026961451	3
19.576235827	3
21.699047619	0
22.204081632	1
23.197573696	1
24.203968253	1
25.276530612	1
26.293968253	2
26.813424036	2
27.358730158	3
27.894648526	1
28.421269841	1
29.381224489	3
30.409115646	4
30.915555555	4
31.457891156	3
31.998095238	3
32.576394557	4
33.042312925	4
33.574489795	3
33.691111111	2
33.853446712	3
34.525600907	2
35.041111111	2
35.571405895	2
36.106190476	0
37.005555555	1
38.617324263	2
39.658820861	3
40.623424036	1
41.621224489	4
42.714988662	1
42.982721088	0
44.644557823	4
46.425079365	4
46.683356009	4
47.859047619	2
48.067278911	3
48.261065759	2
50.297210884	4
50.668888888	4
56.887278911	0
59.995963718	4
60.171201814	2
60.367596371	3
60.524036281	1
60.746258503	2
63.109727891	1
63.586394557	1
64.112448979	0
64.659863945	0
65.151541950	4
65.653809523	4
66.141360544	3
66.648163265	3
67.158662131	3
67.680816326	3
70.383696145	45.4
70.827596371	46.1
71.364013605	46.2
71.874376417	46.3
72.406439909	46.4
72.889546485	47.1
73.412018140	47.2
73.887687074	47.3
74.408458049	47.4
75.894444444	48.1
76.388730158	48.2
77.326553287	48.3
78.415873015	48.4
78.940748299	49.1
79.453809523	49.2
80.026009070	49.3
80.527868480	49.4
81.030453514	50.1
81.500952380	50.2
82.507142857	50.3
83.001473922	50.4
83.557142857	51.1
84.046439909	51.2
84.899773242	54.3
85.772630385	54.4
86.805714285	55.1
88.012902494	55.2
88.997188208	55.3
90.069909297	55.4
91.139727891	56.1
92.209047619	56.2
93.196281179	56.3
94.205691609	56.4
95.310702947	57.1
96.454489795	57.2
97.471972789	57.3
98.548231292	57.4
99.794331065	58.1
100.887891156	58.2
101.984535147	58.3
103.146507936	64.2
103.623061224	64.3
103.797120181	64.4
103.932585034	65.1
104.101519274	65.2
105.177165532	65.3
106.265419501	68.2
107.274353741	68.3
108.296802721	68.4
109.324761904	69.1
110.500362811	69.2
111.619024943	69.3
112.703922902	69.4
113.786507936	70.1
114.917551020	70.2
115.901950113	70.3
116.905442176	70.4
117.969229024	71.1
119.035963718	71.2
120.063287981	71.3
121.113628117	71.4
122.197755102	72.1
122.620657596	73.2
123.077188208	73.3
123.592947845	73.4
124.104920634	74.1
124.606190476	74.2
125.126235827	74.3
125.691224489	74.4
126.232018140	75.1
126.769433106	75.2
127.221269841	75.3
127.722312925	75.4
128.224625850	76.1
128.739614512	76.2
129.235328798	76.3
129.730929705	76.4
130.237029478	77.1
130.725170068	77.2
131.272426303	77.3
131.758730158	77.4
132.266802721	78.1
132.757165532	78.2
135.757346938	78.3
137.150340136	78.4
138.643015873	79.1
139.183333333	79.2
141.261405895	79.3
143.341315192	79.4
143.857551020	80.1
146.293446712	80.2
147.779569160	81.1
148.343718820	81.2
148.876802721	81.3
149.392789115	81.4
149.910997732	82.1
150.388435374	82.2
150.874897959	82.3
151.341859410	82.4
151.944829931	83.3
152.210113378	83.4
155.328412698	84.1
157.548231292	84.2
161.277959183	84.4
161.603650793	85.1
163.162335600	85.2
163.494625850	85.3
165.252562358	85.4
165.588208616	86.1
167.159637188	86.2
167.573446712	86.3
169.189342403	86.4
169.574353741	87.1
170.800839002	87.3
171.230544217	87.4
171.748684807	88.1
172.272448979	88.2
172.746054421	88.3
173.236167800	88.4
173.760680272	89.1
174.233265306	89.2
174.735986394	89.3
175.176349206	89.4
175.716054421	90.1
176.245918367	90.2
176.742562358	90.3
177.244852607	90.4
177.726054421	91.1
178.226077097	91.2
178.734512471	91.3
179.252018140	91.4
179.754126984	92.1
180.254467120	92.2
180.737573696	92.3
181.210294784	92.4
181.721088435	93.1
182.204557823	93.2
182.688480725	93.3
183.170975056	93.4
183.724013605	94.1
184.195238095	95.2
185.571111111	95.4
185.904829931	96.1
