12.000000000	36	0
13.001972789	43	0
14.000952381	36	1
15.002925170	43	1
16.000000000	48	0
16.497959184	43	0
17.004081633	40	0
18.000952381	48	1
18.498911565	43	1
19.005034014	40	1
20.000181406	36	0
20.367346939	38	0
20.751020408	40	0
21.118367347	41	0
21.485714286	43	0
22.001133787	36	1
22.368299320	38	1
22.751972789	40	1
23.119319728	41	1
23.486666667	43	1
24.000000000	36	0
24.506122449	40	0
24.987755102	38	0
25.493877551	43	0
26.000952381	36	1
26.507074830	40	1
26.988707483	38	1
27.494829932	43	1
28.000000000	33	0
28.370294785	35	0
28.742857143	36	0
29.118367347	38	0
29.502040816	40	0
30.000952381	33	1
30.371247166	35	1
30.743809524	36	1
31.119319728	38	1
31.502993197	40	1
32.000000000	40	0
32.506122449	36	0
32.995918367	38	0
33.502040816	36	0
34.000952381	40	1
34.507074830	36	1
34.996870748	38	1
35.502993197	36	1
36.000000000	33	0
36.742857143	36	0
36.995918367	40	0
37.493877551	36	0
38.000952381	33	1
38.743809524	36	1
38.996870748	40	1
39.494829932	36	1
40.000000000	40	0
40.489795918	36	0
40.994829932	38	0
41.238639456	36	0
41.499863946	40	0
42.000952381	40	1
42.490748299	36	1
42.995782313	38	1
43.239591837	36	1
43.500816327	40	1
